name,lat,lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,email,indoor_seating,name,opening_hours,operator,outdoor_seating,phone,website,wheelchair,check_date:opening_hours,smoking,toilets:wheelchair,check_date,cuisine,contact:facebook,level,opening_hours:signed,toilets,description,note,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,theme,wheelchair:description,contact:phone,brewery,contact:email,contact:website,old_name,contact:instagram,contact:mobile,min_age,building,wikidata,building:levels,contact:twitter,roof:levels,roof:shape
BÜRO,49.02131,12.0925149,,,,,,bar,info@kneipe-büro.de,yes,BÜRO,We-Sa 20:00-02:00,,yes,+49 941 5676204,https://www.buero-regensburg.de/,limited,2025-09-06,,no,,,,,,,,,,,,,,Handrolli mit Hilfe erreichbar. E-Rolli mit Hilfe nicht erreichbar.,,,,,,,,,,,,,,
Filmbühne,49.0208442,12.0971226,Regensburg,DE,2,93047,Taubengäßchen,pub,,yes,Filmbühne,Mo-Su 20:30-02:00,Cervezzaa GmbH,no,,http://www.filmbuehne.com/,no,2023-06-03,outside,,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudes4,49.0201466,12.1005055,,,,,,bar,,yes,Dudes4,Mo-Su 19:00+,,no,,http://dudes4.de/,,2025-09-15,,,,,,,no,,,,,,,,,,+49 1512 5206275,,,,,,,,,,,,,
Tikibeat,49.0198175,12.0891782,Regensburg,DE,4,93047,Arnulfsplatz,bar,info@tikibeat.de,,Tikibeat,Th-Sa 19:00-01:00,,,+49 941 93081758,https://www.tikibeat.de/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Il Bar,49.0194657,12.0902638,Regensburg,DE,7,93047,Drei-Mohren-Straße,bar,,yes,Il Bar,"Mo-Th 08:00-23:00, Fr,Sa 08:00-24:00, Su 09:00-23:00, PH 09:00-23:00",,yes,,,yes,,outside,,,,,,,,,,,,,,,,+49 941 59854120,,,,,,,,,,,,,
Kosmonaut,49.0209162,12.0965443,Regensburg,DE,10,93047,Goldene-Bären-Straße,bar,info@kosmonaut-bar.de,yes,Kosmonaut,Tu-Sa 20:00-02:00,,no,,,limited,2023-06-03,,,,,,,,,,,,,,,,vielleicht mit Handrolli und Hilfe möglich. Behinderten gerechtes WC unklar,,,,,,,,,,,,,,
Vincent,49.0157858,12.0987765,Regensburg,DE,,93047,,bar,,,Vincent,"""nur für Hotelgäste""",,,+49 941 3822 5598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mira Regensburg,49.0179875,12.094145,Regensburg,DE,,93047,,bar,,,Mira Regensburg,,,,,,,,,,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barock Bar,49.0199932,12.0968144,,,,,,bar,,,Barock Bar,Mo-Su 20:00-24:00,,,,,no,,,,2025-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer Dorado,49.0190725,12.1043674,,,,,,pub,,yes,Beer Dorado,Tu-Sa 18:00-24:00,,yes,,,,,,,2025-10-07,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,
Chin-Chin,49.0186179,12.0919865,Regensburg,DE,12,93047,Gesandtenstraße,bar,,yes,Chin-Chin,"Mo-Th 16:00-24:00, Fr-Sa 13:00-01:00; Su 13:00-24:00; PH off",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No7 Bar,49.0193158,12.0917748,Regensburg,DE,3,93047,Glockengasse,bar,,,No7 Bar,We-Sa 21:00-02:00; PH off,,,+49 941 563108,www.no7-bar.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINYL,49.0192901,12.0928264,,,,,,bar,,yes,VINYL,"Mo 18:00-01:00, Tu-Th 18:00-02:00, Fr 18:00-03:00, Sa 14:00-03:00, Su 18:00-24:00",,yes,,http://www.vinyl-bar.com/,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zazu,49.0202527,12.098125,Regensburg,DE,3,93047,Unter den Schwibbögen,bar,,,Zazu,,,,,https://zazu-lounge.de/,,2025-09-15,,,2025-09-15,,,,no,,,,,,,,,,,,,,,,,,,,,,,
Hausbar,49.0189976,12.0941522,Regensburg,DE,7,93047,Hinter der Grieb,bar,,yes,Hausbar,Th-Sa 21:00-00:20; PH off,Agostinho Dias Coelho,no,+49 171 91 87 284,http://www.hausbar-regensburg.de,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,
Astra Kiezbar,49.0194148,12.0918022,Regensburg,DE,1,93047,Glockengasse,bar,kontakt@astra-bar.de,yes,Astra Kiezbar,Tu-Sa 20:00-24:00; Fr-Su 00:00-02:00; PH off,,no,,https://www.astra-bar.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar.bar.a,49.0200768,12.0968057,Regensburg,DE,7,93047,Watmarkt,bar,,,Bar.bar.a,,,,,,no,,,,,,,,,,,,,,,,,,+49 941 38228834,,hello@bar-bara.de,https://bar-bara.de/,Séparée,,,,,,,,,
Tipsy,49.0190795,12.0949557,,,,,,bar,,,Tipsy,"Tu-Th 17:00-23:00, Fr 17:00-24:00, Sa 16:00-24:00",,,,https://betterbetipsy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaparte Bar,49.0189936,12.0953376,Regensburg,DE,,93047,,bar,,yes,Bonaparte Bar,Tu-Th 12:00-01:00; Fr 12:00-02:00; Sa 12:00-03:00; Su 12:00-00:00,,yes,,https://bonaparte-bar.de/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FassBar,49.0174823,12.0937078,Regensburg,DE,10,93047,Spiegelgasse,bar,,,FassBar,Tu-Sa 21:00+,,,,,no,,,,,,https://www.facebook.com/p/Augustiner-Wirtschaft-FassBar-100063537012456/,,,,,,,,,,,,,Augustiner Bräu München,kontakt@augustiner-fassbar.de,https://www.regensburg-events.com/studentenwirtschaft-fass-bar,,https://www.instagram.com/augustiner.fassbar/,+49 173 3916893,18,,,,,,
Klappe,49.0255759,12.097004,Regensburg,DE,13,93059,Stadtamhof,pub,Klappe@lb-team.de,yes,Klappe,Mo-Su 16:00-23:30,Klappe Gastronomie eG,yes,+49 941 8500880,http://www.klappe-regensburg.de,limited,,,no,2025-10-20,,,,,,,,,,,,,,,yes,,,,,,,yes,Q41268888,,,,
Marple & Stringer,49.0187403,12.0891578,Regensburg,DE,4,93047,Bismarckplatz,bar,,yes,Marple & Stringer,"Mo-Fr 11:00-15:00,17:00-02:00, Sa,Su 10:00-02:00",,yes,+49 941 20904439,https://www.marple-and-stringer.de/,limited,,,no,,burger,marpleandstringer,,,,,,,,,,,,,,,,,marpleandstringer,,,commercial,Q98671560,3,marpleandstringer,1,skillion
